id	COL1A1	HPN	IGFBP2	KRT5	MDK	MMP14	Type
Train.GSE10667_GSM269749_Control	6.90687851000765	5.61306630110672	7.7890403665588	5.12546460244688	6.08481722951213	6.43414560343124	0
Train.GSE10667_GSM269750_Control	6.86408443832619	4.74848888772382	6.5092646915083	4.43738341861931	5.71903101212192	5.07043152134875	0
Train.GSE10667_GSM269751_Control	6.05928613856766	5.65043074105215	6.29479048027291	2.5150559572482	4.7945348664798	5.06873837400174	0
Train.GSE10667_GSM269752_Control	5.88511915568879	4.79785162989875	6.89930878657116	3.96063300491906	5.82475022042843	5.44325841502573	0
Train.GSE10667_GSM269753_Control	6.51805735646047	5.76541277319878	7.55421584106432	6.71280995423945	5.82266761411437	5.62997366038088	0
Train.GSE10667_GSM269754_Control	8.79751015893264	4.41556773203216	8.05637776959342	7.65316981119023	6.35313164222633	6.18997484072372	0
Train.GSE10667_GSM269755_Control	6.87211648142417	6.41210904098917	6.90933684027164	4.57036764304101	6.2837653074935	5.53497594538216	0
Train.GSE10667_GSM269756_Control	6.52066213098114	4.59075516696191	7.20745984187296	1.29241207817345	5.70855968877183	5.16593595029009	0
Train.GSE10667_GSM269757_Control	8.25686381965507	5.12853515001724	6.59891495666908	5.36883457633268	5.20908745691109	5.69872297802059	0
Train.GSE10667_GSM269758_Control	6.8303269063744	5.91660673761293	7.26407783791417	5.54771873267539	5.93442885371625	5.38432504608348	0
Train.GSE10667_GSM269759_Control	7.09176562556226	5.40856474328834	6.57474685546819	6.34420453485975	5.42303595288992	5.34976238793286	0
Train.GSE10667_GSM269760_Control	5.80204775584282	5.09514063284814	6.30714457998359	3.38156915217381	4.10097043853536	5.48786538915903	0
Train.GSE10667_GSM269761_Control	6.77788872383941	5.8660115722039	7.26582582352866	3.83516429721414	5.81932025282078	5.75076457599501	0
Train.GSE10667_GSM269762_Control	6.57908563577772	5.62614659728808	6.44665471121605	3.62835977259249	5.20112709613559	5.64175264503515	0
Train.GSE10667_GSM269763_Control	6.09814396679724	5.70881610621747	6.32279621227994	3.23338134418985	5.41282605934007	5.94044167583729	0
Train.GSE10667_GSM269764_Treat	9.35526673856642	4.04923012156774	7.80787909602194	4.47163621685296	6.1631163378923	6.97977886764054	1
Train.GSE10667_GSM269765_Treat	8.5897066867321	3.51981071596382	8.22276253256608	7.30339152807553	6.09864386303487	6.97068185298915	1
Train.GSE10667_GSM269766_Treat	10.1118028265287	5.58594202115471	7.22363086574874	3.16792333448643	5.95148979780816	6.88412988297656	1
Train.GSE10667_GSM269767_Treat	9.83420177225683	3.59573441176824	8.47099805924101	7.52841926351172	6.59126504435355	5.03829017155222	1
Train.GSE10667_GSM269768_Treat	9.56541089227648	4.09076662363751	7.78330548976734	6.37676059016116	6.66047328471394	5.21090892721048	1
Train.GSE10667_GSM269769_Treat	9.47728871359231	6.04618119362166	8.35381227538014	7.88070511539491	6.42329109844772	6.57647070823704	1
Train.GSE10667_GSM269770_Treat	8.30142872929521	4.31530739891206	8.21865485264971	8.13230397296477	6.2426395736479	5.77932278926246	1
Train.GSE10667_GSM269771_Treat	8.05638735653167	5.03607285151188	7.80442367529833	7.09444131064975	5.72223617680119	5.92686497161114	1
Train.GSE10667_GSM269772_Treat	7.18350257733652	5.96544219381421	7.249716919576	4.17482603019052	5.60010253323309	5.76947992859536	1
Train.GSE10667_GSM269773_Treat	8.85334539502175	4.83411683920373	7.43596625352001	6.00921443684932	5.55331013182557	5.23681823375204	1
Train.GSE10667_GSM269774_Treat	8.85005209229344	5.03942460395655	7.54799004432486	6.81382926731918	5.81861721862824	6.08580245081837	1
Train.GSE10667_GSM269775_Treat	10.0750608863528	4.71210302159872	8.18619633004229	8.27262956628818	6.39002503957618	6.82557558834951	1
Train.GSE10667_GSM269776_Treat	8.68896478738635	5.56340034990979	8.07068519577557	8.88776278667757	6.37087177387358	6.55395615443708	1
Train.GSE10667_GSM269777_Treat	7.73154902286397	3.40983829230978	8.60431259091886	8.67577137323342	5.41154805622877	5.64994003511274	1
Train.GSE10667_GSM269778_Treat	9.0994297779811	4.24914358627812	8.98162296451863	10.6411996199933	7.25418301068153	6.78882844717763	1
Train.GSE10667_GSM269779_Treat	9.47106916598155	6.1152807277166	8.27160777322678	4.22091688563357	5.74231769493639	6.77144639044453	1
Train.GSE10667_GSM269780_Treat	8.69630515831228	5.59971883625223	7.11154322946735	6.40616441024102	6.3133430864806	6.41628220689831	1
Train.GSE10667_GSM269781_Treat	8.80187162357211	4.69445735339886	7.96042060668244	6.37041697640182	6.25993986732043	6.3242878677113	1
Train.GSE10667_GSM269782_Treat	9.32317865172081	4.15102687042979	8.24819546442386	8.63202672023481	6.90922638926706	6.37517609555833	1
Train.GSE10667_GSM269783_Treat	8.49660604039134	3.1335568953209	8.39544556552184	9.16138974516848	6.68858582032741	5.92270515001837	1
Train.GSE10667_GSM269784_Treat	7.75433333300433	3.61005261558461	8.83242039972588	9.00555541018483	5.97968447183859	5.7894455344138	1
Train.GSE10667_GSM269785_Treat	8.4659272355963	5.88739681834168	8.09537268855589	6.96721195255753	6.13937480255376	6.05140049557217	1
Train.GSE10667_GSM269786_Treat	8.76033513765802	2.57798003129764	8.45744469990341	8.01571999920161	7.39579317436739	5.77380506657305	1
Train.GSE10667_GSM373881_Treat	10.1837021488138	3.55842716628949	8.34043233416126	8.75878316315948	5.96675341202342	7.20241159658928	1
Train.GSE10667_GSM373882_Treat	10.0952364920169	4.37571415755733	7.8879637557988	5.71749368014039	6.57206496858537	7.70065903357171	1
Train.GSE10667_GSM373883_Treat	9.521196534669	4.92869454949044	7.82458159035109	7.69165168526345	6.05353662398835	7.19524993701164	1
Train.GSE10667_GSM373884_Treat	10.2232940927351	4.20322818182095	8.63790307656981	4.8576300559153	5.70229243923639	7.41515148549874	1
Train.GSE10667_GSM373885_Treat	6.42229062829289	4.88445032034054	7.73005491122531	4.58154266040401	5.59024150715316	6.35027637233494	1
Train.GSE10667_GSM373886_Treat	8.06788404841877	3.24685678335843	8.08139656863039	8.29889872569662	6.43486819919611	6.35090534351107	1
Train.GSE10667_GSM373887_Treat	6.13771547494981	4.96470120846659	8.11120895506819	7.08766072966633	5.3579443486745	6.98416859434536	1
Train.GSE10667_GSM373888_Treat	7.88897911116133	3.40458266926189	8.67746225150063	9.11551058317037	6.63214789578339	5.99425331250053	1
Train.GSE35145_GSM862609_Control	7.59849487669381	4.91230715955757	6.87864010770608	5.280258044756	5.45494098702441	5.93623264378575	0
Train.GSE35145_GSM862610_Control	6.04014073144429	4.08130391664802	6.7896375290215	5.4066381526546	5.0161961598118	6.11070755643569	0
Train.GSE35145_GSM862611_Control	6.85293751248064	3.98585865248519	6.84452591659215	5.64144221091516	5.35675466644166	5.85478625887038	0
Train.GSE35145_GSM862612_Control	6.44813480180349	6.50418116354375	8.20425942324314	5.48534425767932	5.66997582980828	6.54284381771645	0
Train.GSE35145_GSM862605_Treat	8.74933676413125	4.95788096418634	8.90590568044785	6.19269034383915	7.05004696429949	6.04301703257292	1
Train.GSE35145_GSM862606_Treat	8.86645101069997	5.36366395300037	8.46347982298995	5.77371546489915	6.26756284234021	5.58407721844517	1
Train.GSE35145_GSM862607_Treat	10.3176696166475	4.2814185021748	8.02733325442752	10.7913973174393	6.26274317200271	6.91926153705668	1
Train.GSE35145_GSM862608_Treat	10.0879621443438	4.15769041754105	7.40084606476221	5.46758118054132	6.71336865882297	5.76308487569573	1
