"Cohort","Compared_with","AUC","CI_low","CI_high","Threshold","Threshold_Method","Threshold_Source","TP","TN","FP","FN","Sensitivity","Specificity","PPV","Precision","NPV","Accuracy","F1_score"
"Internal","GSE24206",0.968421052631579,0.909774436090226,1,0.452512515803028,"youden","Train",34,17,2,1,0.971428571428571,0.894736842105263,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444,0.957746478873239
"GSE24206","GSE24206",0.901960784313726,0.735294117647059,1,0.452512515803028,"youden","Train",14,5,1,3,0.823529411764706,0.833333333333333,0.933333333333333,0.933333333333333,0.625,0.826086956521739,0.875
"Internal","GSE53845",0.968421052631579,0.909774436090226,1,0.452512515803028,"youden","Train",34,17,2,1,0.971428571428571,0.894736842105263,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444,0.957746478873239
"GSE53845","GSE53845",0.896875,0.784375,0.98125,0.452512515803028,"youden","Train",34,6,2,6,0.85,0.75,0.944444444444444,0.944444444444444,0.5,0.833333333333333,0.894736842105263
