"Cohort","AUC","CI_low","CI_high","Threshold","TP","TN","FP","FN","Sensitivity","Specificity","PPV","Precision","NPV","Accuracy","F1_score"
"Train",0.959398496240601,0.902255639097744,0.996992481203008,0.744184874144319,30,19,0,5,0.857142857142857,1,1,1,0.791666666666667,0.907407407407407,0.923076923076923
"GSE24206",0.950980392156863,0.823529411764706,1,0.744184874144319,15,5,1,2,0.882352941176471,0.833333333333333,0.9375,0.9375,0.714285714285714,0.869565217391304,0.909090909090909
"GSE53845",0.721875,0.465625,0.925,0.744184874144319,26,6,2,14,0.65,0.75,0.928571428571429,0.928571428571429,0.3,0.666666666666667,0.764705882352941
