id	AURKA	CCNA1	CCNA2	MMP13	MMP2	MMP3	Type
Train.GSE10667_GSM269749_Control	2.7379979426084	4.09731315786394	0.78354355317806	1.81374948057889	6.06136011292806	2.11986966759945	0
Train.GSE10667_GSM269750_Control	2.60445463558349	2.4753084929187	1.32092872873317	1.94636394758564	3.96580531097259	2.50802968450038	0
Train.GSE10667_GSM269751_Control	2.88120011672535	2.78448893928122	1.74089913436009	1.8922285412324	4.01648901123351	2.0586722787997	0
Train.GSE10667_GSM269752_Control	2.64540864634336	2.45395781779632	1.8587425411258	1.84097773673447	4.83429470656333	0.230548896686635	0
Train.GSE10667_GSM269753_Control	2.35219737132379	4.03653467445479	1.89265649428242	1.79336154586498	4.09883760409866	1.12791504402708	0
Train.GSE10667_GSM269754_Control	2.95088881320225	4.34193871777767	1.93066868777024	2.82933652344461	5.48678202360171	1.84033888129789	0
Train.GSE10667_GSM269755_Control	2.99052597474154	1.87233621435279	2.00806972937378	2.44007964864672	5.10463558544032	0.241694055259043	0
Train.GSE10667_GSM269756_Control	2.03407323253859	2.21349132222943	1.54475536016478	1.82237958546697	4.96019276619712	1.9890625701774	0
Train.GSE10667_GSM269757_Control	2.91904769496993	2.63782543476868	1.69999419553678	2.85833162690675	5.13274701388218	2.94108845173383	0
Train.GSE10667_GSM269758_Control	2.28302727670286	2.13238538329667	1.64244176921148	1.79275603177291	5.47328871998407	0.227917411187661	0
Train.GSE10667_GSM269759_Control	2.47763983623337	3.33955095712444	1.95629836717725	1.76394594650558	4.09568158181912	0.207617908627534	0
Train.GSE10667_GSM269760_Control	3.08545748709217	1.81555551458049	2.35754671251886	2.2940016675472	5.19624138857266	1.09266778647489	0
Train.GSE10667_GSM269761_Control	2.70306074910187	1.88915809670826	1.72478061865243	4.44167605296382	4.32574809707648	0.212023445919183	0
Train.GSE10667_GSM269762_Control	3.12471069090928	2.17991374347024	2.37153015936631	1.78229027115872	4.74198048602914	0.212205437887905	0
Train.GSE10667_GSM269763_Control	3.12913027363047	2.91239899670871	2.05030410637474	1.79336154586498	5.82262572393588	0.472892657379121	0
Train.GSE10667_GSM269764_Treat	3.25521414768288	2.30984133128876	2.56435255138861	5.92057159175164	6.33001565618738	4.13341179404174	1
Train.GSE10667_GSM269765_Treat	2.43950891346548	5.40692013058553	2.37930242973341	3.69967510893545	6.39781287019337	3.47813935338797	1
Train.GSE10667_GSM269766_Treat	3.41055574812589	4.20934162990554	2.32762623819443	3.60115139112781	5.93295225331277	1.57283879985558	1
Train.GSE10667_GSM269767_Treat	2.03961657591486	5.70756106765715	1.68226736949212	5.29125743188914	5.20584446429515	3.22770656754907	1
Train.GSE10667_GSM269768_Treat	2.83219113163199	4.55687797643981	2.07639193290068	4.88221431377945	5.49472782735092	2.19813139278361	1
Train.GSE10667_GSM269769_Treat	3.03555334045	4.71745802825375	1.57018805844337	4.38722565695661	5.83504123191323	1.34712658976822	1
Train.GSE10667_GSM269770_Treat	3.0418549818325	4.60010196747593	1.9848532532293	4.56756258561416	4.93947421186213	2.8564851202249	1
Train.GSE10667_GSM269771_Treat	3.1791683246035	3.88326246462288	2.06481136071727	3.33047130120962	4.31448395699634	1.29764696841809	1
Train.GSE10667_GSM269772_Treat	2.92549581733315	2.15343099443459	1.71599319460473	1.80808043134562	5.37637964653725	1.94186524648381	1
Train.GSE10667_GSM269773_Treat	2.89241404958235	3.6464232635147	2.03540952958867	3.13938267472774	5.90122744103536	4.34578384486075	1
Train.GSE10667_GSM269774_Treat	3.56008471692505	3.0837300815114	2.35593692666779	4.37269637689875	6.40796660012756	3.56334562576889	1
Train.GSE10667_GSM269775_Treat	3.45643240760132	2.46120708140726	2.76515009696272	5.04283074939277	6.91181747927733	2.45613164141953	1
Train.GSE10667_GSM269776_Treat	3.51132282601129	4.2334675504527	2.6253783378362	4.98897134125574	5.71320329899474	4.64366844722755	1
Train.GSE10667_GSM269777_Treat	2.79606507481227	4.06681512775593	1.88116519070028	3.46713399690015	4.91259985920444	4.72562845636149	1
Train.GSE10667_GSM269778_Treat	3.40918267388242	5.54311332183566	2.52185331961198	6.28627534453614	4.98090146033273	3.4397693799822	1
Train.GSE10667_GSM269779_Treat	3.78766363494884	1.88990059658068	2.29441315422137	4.50976810041663	6.79991407647597	2.61488708272133	1
Train.GSE10667_GSM269780_Treat	3.77884592379152	2.66758857258494	2.40401581490255	2.82933652344461	5.69904329420341	2.58195837325848	1
Train.GSE10667_GSM269781_Treat	2.68400712456485	2.75439639322239	2.02068168589258	4.09021029126106	6.7287348140815	1.92807528592691	1
Train.GSE10667_GSM269782_Treat	2.76806131439294	5.03387936988848	1.94433194806436	3.88651061055089	6.41255235131768	2.08126961491614	1
Train.GSE10667_GSM269783_Treat	3.03755524718644	6.18507521204231	2.50345808569331	5.379560805779	5.77443210325769	3.02414411170386	1
Train.GSE10667_GSM269784_Treat	2.61234019504535	5.83263121522425	1.98918831356884	3.78652509609672	4.18118923087131	2.1840928578304	1
Train.GSE10667_GSM269785_Treat	2.9473939841472	3.14440053727517	2.14516269270506	2.39025547204754	5.86806683203237	1.58198426618628	1
Train.GSE10667_GSM269786_Treat	3.05331896808082	6.33626750932177	2.52933491370716	5.20419796131722	5.94635074732096	4.73040463583334	1
Train.GSE10667_GSM373881_Treat	3.55363437515304	4.80903275893278	2.94903234923101	4.65428413039227	5.87779960730058	3.71066294581692	1
Train.GSE10667_GSM373882_Treat	4.08790303783102	3.53724839497868	3.54168880635821	1.8343201398736	5.67435107951694	2.33126369653776	1
Train.GSE10667_GSM373883_Treat	4.45727184617283	3.02529473294555	3.54580253958716	4.27198608042528	6.49560481072343	2.97659168172984	1
Train.GSE10667_GSM373884_Treat	3.78024489113765	1.92379845448566	3.17971200576371	3.97293169189694	6.49713162467409	3.0200566904551	1
Train.GSE10667_GSM373885_Treat	2.12221335396513	2.95571351795468	2.42349628942017	3.53595770721422	5.00432322625251	0.210336691087115	1
Train.GSE10667_GSM373886_Treat	2.56700285190801	5.553882613018	2.36191497192499	4.32463751853014	5.81895772976528	2.5781439399628	1
Train.GSE10667_GSM373887_Treat	2.30404581782968	5.18831401804524	2.86087038351029	3.86454849210519	5.86425927811665	2.58195837325848	1
Train.GSE10667_GSM373888_Treat	3.36234649000301	6.48336540668999	2.85890426101116	5.33587434020405	6.26241943855343	3.51853491220173	1
Train.GSE35145_GSM862609_Control	2.62463497998733	3.58685971073696	2.11761115622104	3.10550676070523	4.62319314710448	1.88939607413526	0
Train.GSE35145_GSM862610_Control	2.33711020021156	3.3266125925443	1.42518147049703	4.30340775102989	5.15232079906877	2.54633470304902	0
Train.GSE35145_GSM862611_Control	2.53848122943564	3.91010429146568	2.34984895561233	3.10700678425151	4.99793836791337	2.55121134800605	0
Train.GSE35145_GSM862612_Control	2.65246488671743	3.11599078805834	2.33058980820531	3.69054346712261	5.4481012198978	1.96012510734569	0
Train.GSE35145_GSM862605_Treat	3.64989161435943	5.11938629423307	2.55778798928834	3.77720767155109	5.71556216207799	2.77902386378122	1
Train.GSE35145_GSM862606_Treat	3.94860258438223	3.44184781198572	2.39053109181098	3.05722236362808	5.67839451974098	2.38215560515737	1
Train.GSE35145_GSM862607_Treat	3.04600601608904	4.3186519133773	2.15703984321667	3.5688183147793	5.94963040133123	2.18732358517761	1
Train.GSE35145_GSM862608_Treat	3.14913750414801	2.64300847947237	2.29255400649236	3.59214360447017	6.34783076104242	1.90706483100116	1
